商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,第一数量,第一计量单位,第二数量,第二计量单位,人民币
1061990,"未列名哺乳动物,改良...",129,菲律宾,249,千克,23,只,25968
1061990,"未列名哺乳动物,改良...",305,法国,1,千克,41,只,14199
1062090,未列名爬行动物,118,科威特,66,千克,6600,只,12838
1062090,未列名爬行动物,307,意大利,113,千克,9500,只,156523
2064100,冻猪肝,309,荷兰,55080,千克,0,—,267838
2071411,带骨的冻鸡块,124,蒙古,558460,千克,0,—,7185306
2071419,其他冻鸡块,124,蒙古,569930,千克,0,—,6266027
2074200,整只冻鸭,123,马尔代夫,9906,千克,0,—,95382
2081020,冻兔肉，不包括兔头,123,马尔代夫,1,千克,0,—,446
2081020,冻兔肉，不包括兔头,301,比利时,101000,千克,0,—,2804291
2081020,冻兔肉，不包括兔头,305,法国,24400,千克,0,—,686278
3011100,淡水观赏鱼,118,科威特,6,千克,0,—,4564
3011100,淡水观赏鱼,129,菲律宾,300,千克,0,—,53326
3011100,淡水观赏鱼,309,荷兰,360,千克,0,—,70513
3011100,淡水观赏鱼,312,西班牙,12,千克,0,—,35932
3011100,淡水观赏鱼,327,波兰,300,千克,0,—,19451
3011100,淡水观赏鱼,501,加拿大,77,千克,0,—,14955
3028920,鲜或冷的黄鱼,501,加拿大,3858,千克,0,—,337897
3028990,其他鲜或冷的鱼,501,加拿大,5220,千克,0,—,304739
3031310,冻大西洋鲑鱼,307,意大利,8500,千克,0,—,546751
3032300,冻罗非鱼,118,科威特,11902,千克,0,—,97936
3032300,冻罗非鱼,138,阿联酋,21100,千克,0,—,121104
3032300,冻罗非鱼,224,肯尼亚,125000,千克,0,—,2755530
3032300,冻罗非鱼,235,尼日尔,104000,千克,0,—,2064964
3032300,冻罗非鱼,244,南非,26000,千克,0,—,255865
3032300,冻罗非鱼,252,刚果民主共和国,199200,千克,0,—,2346239
3032300,冻罗非鱼,301,比利时,21200,千克,0,—,134080
