商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,第一数量,第一计量单位,第二数量,第二计量单位,人民币
1029090,"其他牛,改良种用除外",110,中国香港,813310,千克,1356,头,27447653
1039120,"其他猪,10kg≤重...",110,中国香港,50570,千克,1050,头,1540099
1039200,"其他猪,重量≥50k...",110,中国香港,13992572,千克,126002,头,237489449
1042090,"其他山羊,改良种用除...",110,中国香港,10170,千克,329,头,491419
1051190,"其他鸡,改良种用除外...",110,中国香港,7820,千克,180300,只,367694
1061190,"其他灵长目动物,改良...",116,日本,860,千克,258,只,4024108
1061190,"其他灵长目动物,改良...",502,美国,1100,千克,360,只,3010878
1061490,"其他家兔及野兔,改良...",116,日本,2700,千克,900,只,126900
1061490,"其他家兔及野兔,改良...",122,马来西亚,21,千克,9,只,18747
1061490,"其他家兔及野兔,改良...",132,新加坡,32,千克,14,只,21112
1061490,"其他家兔及野兔,改良...",133,韩国,1587,千克,546,只,382562
1061990,"未列名哺乳动物,改良...",110,中国香港,2,千克,12,只,9208
1061990,"未列名哺乳动物,改良...",112,印度尼西亚,70,千克,3,只,2574
1061990,"未列名哺乳动物,改良...",116,日本,175,千克,57,只,142428
1061990,"未列名哺乳动物,改良...",122,马来西亚,98,千克,15,只,10293
1061990,"未列名哺乳动物,改良...",125,尼泊尔,90,千克,2,只,1287
1061990,"未列名哺乳动物,改良...",132,新加坡,86,千克,122,只,37494
1061990,"未列名哺乳动物,改良...",133,韩国,323,千克,374,只,144348
1061990,"未列名哺乳动物,改良...",136,泰国,401,千克,44,只,21783
1061990,"未列名哺乳动物,改良...",304,德国,0,千克,2,只,41490
1061990,"未列名哺乳动物,改良...",502,美国,62,千克,366,只,59300
1062020,食用爬行动物,116,日本,2700,千克,3095,只,228998
1062020,食用爬行动物,141,越南,40575,千克,22484,只,2833651
1062090,未列名爬行动物,113,伊朗,190,千克,24000,只,21617
1062090,未列名爬行动物,133,韩国,1640,千克,7200,只,101906
1062090,未列名爬行动物,337,格鲁吉亚(2023年起停用),48,千克,3072,只,3152
1062090,未列名爬行动物,344,俄罗斯,80,千克,8000,只,8235
1062090,未列名爬行动物,502,美国,45,千克,240,只,3948
1069090,"其他活动物,改良种用...",133,韩国,1050,千克,52500,只,54041
2031200,鲜或冷的带骨猪前腿、...,110,中国香港,240525,千克,0,—,7265003
2031900,其他鲜或冷的猪肉,110,中国香港,284335,千克,0,—,7550693
2032110,冻整头及半头乳猪肉,132,新加坡,47780,千克,0,—,3249466
2032900,其他冻猪肉,110,中国香港,2103900,千克,0,—,67416402
2032900,其他冻猪肉,122,马来西亚,26000,千克,0,—,443329
2044200,冻带骨绵羊肉,110,中国香港,25019,千克,0,—,1773038
2044300,冻去骨绵羊肉,110,中国香港,23246,千克,0,—,1387952
2045000,山羊肉,110,中国香港,96570,千克,0,—,5767530
2062900,其他冻牛杂碎,110,中国香港,10000,千克,0,—,39470
2071100,"整只鸡,鲜或冷的",110,中国香港,5228215,千克,0,—,106311822
2071200,"整只鸡,冻的",110,中国香港,176359,千克,0,—,3400363
2071311,鲜或冷的带骨鸡块,110,中国香港,76013,千克,0,—,1942948
2071329,鲜或冷的其他鸡杂碎,110,中国香港,9210,千克,0,—,198200
2071411,带骨的冻鸡块,110,中国香港,672396,千克,0,—,7677455
2071419,其他冻鸡块,102,巴林,523200,千克,0,—,5745669
2071419,其他冻鸡块,110,中国香港,1789741,千克,0,—,23591263
2071419,其他冻鸡块,122,马来西亚,1104158,千克,0,—,19016037
2071419,其他冻鸡块,337,格鲁吉亚(2023年起停用),319080,千克,0,—,3836116
2071421,冻鸡翼（不包括翼尖）,110,中国香港,43358,千克,0,—,1403785
2074100,鲜或冷的整只鸭,110,中国香港,1442936,千克,0,—,21251492
2074200,整只冻鸭,110,中国香港,178220,千克,0,—,2283893
2074500,冻的鸭块及杂碎,102,巴林,97607,千克,0,—,987638
2074500,冻的鸭块及杂碎,110,中国香港,86164,千克,0,—,833188
2074500,冻的鸭块及杂碎,337,格鲁吉亚(2023年起停用),208320,千克,0,—,1798803
2075100,鲜或冷的整只鹅,110,中国香港,955030,千克,0,—,25910886
2081020,"冻兔肉,不包括兔头",304,德国,68504,千克,0,—,2216683
2081020,"冻兔肉,不包括兔头",344,俄罗斯,87000,千克,0,—,2050638
2081020,"冻兔肉,不包括兔头",502,美国,24000,千克,0,—,630933
2089010,鲜、冷、冻的乳鸽肉及...,110,中国香港,343030,千克,0,—,7044015
2101110,干、熏、盐腌或盐渍带...,110,中国香港,6000,千克,0,—,250197
2101200,干、熏、盐腌或盐渍猪...,110,中国香港,4451,千克,0,—,239216
2101900,其他干、熏、盐腌或盐...,110,中国香港,20302,千克,0,—,985225
2109900,其他干、熏、盐腌或盐...,110,中国香港,11017,千克,0,—,268491
3011100,淡水观赏鱼,110,中国香港,16000,千克,0,—,133194
3011100,淡水观赏鱼,113,伊朗,10,千克,0,—,4696
3011100,淡水观赏鱼,116,日本,125,千克,0,—,27820
3011100,淡水观赏鱼,122,马来西亚,995,千克,0,—,44165
3011100,淡水观赏鱼,132,新加坡,964,千克,0,—,151506
3011100,淡水观赏鱼,133,韩国,368,千克,0,—,71005
3011100,淡水观赏鱼,136,泰国,141,千克,0,—,67462
3011100,淡水观赏鱼,143,中国台湾,1428,千克,0,—,99800
3011100,淡水观赏鱼,145,哈萨克斯坦,58,千克,0,—,7399
3011100,淡水观赏鱼,304,德国,585,千克,0,—,40753
3011100,淡水观赏鱼,337,格鲁吉亚(2023年起停用),10,千克,0,—,888
3011100,淡水观赏鱼,344,俄罗斯,314,千克,0,—,72297
3011100,淡水观赏鱼,358,塞尔维亚,32,千克,0,—,4053
3011100,淡水观赏鱼,502,美国,3587,千克,0,—,347739
3011100,淡水观赏鱼,601,澳大利亚,387,千克,0,—,96634
3019290,"其他活鳗鱼,鱼苗除外",110,中国香港,63800,千克,0,—,8913562
3019290,"其他活鳗鱼,鱼苗除外",116,日本,520960,千克,0,—,112006378
3019290,"其他活鳗鱼,鱼苗除外",132,新加坡,1230,千克,0,—,242240
3019290,"其他活鳗鱼,鱼苗除外",133,韩国,71893,千克,0,—,8521016
3019290,"其他活鳗鱼,鱼苗除外",141,越南,55182,千克,0,—,3831075
3019390,"其他活鲤科鱼, 鱼苗...",110,中国香港,2335077,千克,0,—,51090074
3019390,"其他活鲤科鱼, 鱼苗...",133,韩国,169600,千克,0,—,3101454
3019390,"其他活鲤科鱼, 鱼苗...",141,越南,57000,千克,0,—,1460000
3019919,其他鱼苗,133,韩国,3000,千克,0,—,183355
3019991,活罗非鱼,110,中国香港,64015,千克,0,—,1298850
3019992,活鲀,133,韩国,26350,千克,0,—,2910657
3019993,其他活鲤科鱼,110,中国香港,656960,千克,0,—,14660388
3019993,其他活鲤科鱼,133,韩国,31600,千克,0,—,727036
3019999,其他活鱼,110,中国香港,327776,千克,0,—,17759469
3019999,其他活鱼,116,日本,7278,千克,0,—,508521
3019999,其他活鱼,122,马来西亚,1499,千克,0,—,121177
3019999,其他活鱼,132,新加坡,3924,千克,0,—,350216
3019999,其他活鱼,133,韩国,1146232,千克,0,—,43817247
3019999,其他活鱼,141,越南,204060,千克,0,—,4911190
3019999,其他活鱼,143,中国台湾,4050,千克,0,—,313602
3022300,鲜或冷的鳎鱼,110,中国香港,9817,千克,0,—,481735
3022900,其他鲜或冷的比目鱼,502,美国,700,千克,0,—,86223
3025100,鲜或冷的鳕鱼,133,韩国,396952,千克,0,—,6469088
3027300,鲜或冷的鲤科鱼,110,中国香港,4130,千克,0,—,101883
3027400,鲜或冷的鳗鱼,110,中国香港,20417,千克,0,—,773648
3028200,鲜或冷的魟鱼及鳐鱼,133,韩国,14780,千克,0,—,678951
3028910,鲜或冷的带鱼,110,中国香港,7698,千克,0,—,285195
3028920,鲜或冷的黄鱼,110,中国香港,79100,千克,0,—,1254396
