商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,第一数量,第一计量单位,第二数量,第二计量单位,人民币
1029090,"其他牛,改良种用除外",110,中国香港,785460,千克,1353,头,29010310
1031000,改良种用猪,110,中国香港,19769,千克,295,头,636686
1039120,"其他猪,10kg≤重...",110,中国香港,33750,千克,699,头,1025091
1039200,"其他猪,重量≥50k...",110,中国香港,6693849,千克,60479,头,106745071
1042090,"其他山羊,改良种用除...",110,中国香港,6450,千克,220,头,337590
1051190,"其他鸡,改良种用除外...",110,中国香港,7932,千克,173710,只,460575
1061190,"其他灵长目动物,改良...",116,日本,310,千克,118,只,1784328
1061190,"其他灵长目动物,改良...",502,美国,6624,千克,2140,只,23668991
1061490,"其他家兔及野兔,改良...",133,韩国,1074,千克,408,只,262481
1061990,"未列名哺乳动物,改良...",110,中国香港,1,千克,23,只,1365
1061990,"未列名哺乳动物,改良...",112,印度尼西亚,31,千克,4,只,4684
1061990,"未列名哺乳动物,改良...",116,日本,485,千克,103,只,418537
1061990,"未列名哺乳动物,改良...",122,马来西亚,253,千克,44,只,35465
1061990,"未列名哺乳动物,改良...",125,尼泊尔,35,千克,3,只,2007
1061990,"未列名哺乳动物,改良...",132,新加坡,85,千克,16,只,21412
1061990,"未列名哺乳动物,改良...",133,韩国,1668,千克,1380,只,1157216
1061990,"未列名哺乳动物,改良...",136,泰国,306,千克,79,只,68340
1061990,"未列名哺乳动物,改良...",141,越南,17,千克,2,只,2677
1061990,"未列名哺乳动物,改良...",304,德国,0,千克,8,只,214
1061990,"未列名哺乳动物,改良...",502,美国,139,千克,341,只,52147
1062020,食用爬行动物,110,中国香港,82,千克,101,只,6994
1062020,食用爬行动物,116,日本,500,千克,570,只,45154
1062020,食用爬行动物,132,新加坡,500,千克,750,只,35464
1062020,食用爬行动物,133,韩国,2000,千克,2800,只,184682
1062020,食用爬行动物,141,越南,48900,千克,23921,只,3425112
1062090,未列名爬行动物,110,中国香港,15,千克,2120,只,65291
1062090,未列名爬行动物,132,新加坡,102,千克,12700,只,32480
1062090,未列名爬行动物,143,中国台湾,39,千克,5709,只,305277
1062090,未列名爬行动物,304,德国,57,千克,11400,只,169706
1062090,未列名爬行动物,337,格鲁吉亚(2023年起停用),40,千克,3072,只,3083
1062090,未列名爬行动物,344,俄罗斯,630,千克,63000,只,63234
1062090,未列名爬行动物,502,美国,112,千克,615,只,2622
1064990,"其他昆虫,改良种用除...",110,中国香港,1020,千克,1020000,只,20386
1069090,"其他活动物,改良种用...",116,日本,1260,千克,3780000,只,105390
2023000,冻去骨牛肉,110,中国香港,12185,千克,0,—,724182
2031200,鲜或冷的带骨猪前腿、...,110,中国香港,201233,千克,0,—,5472652
2031900,其他鲜或冷的猪肉,110,中国香港,295272,千克,0,—,6764967
2032110,冻整头及半头乳猪肉,132,新加坡,24000,千克,0,—,1588779
2032190,其他冻整头及半头猪肉,110,中国香港,47800,千克,0,—,1230226
2032900,其他冻猪肉,110,中国香港,2718645,千克,0,—,84196518
2044200,冻带骨绵羊肉,110,中国香港,50080,千克,0,—,3624198
2044300,冻去骨绵羊肉,110,中国香港,11992,千克,0,—,828006
2050000,鲜、冷、冻的马、驴、...,116,日本,9411,千克,0,—,917826
2062900,其他冻牛杂碎,110,中国香港,5000,千克,0,—,21867
2069000,其他冻杂碎（牛、猪杂...,116,日本,695,千克,0,—,85263
2071100,"整只鸡,鲜或冷的",110,中国香港,4387973,千克,0,—,92056619
2071200,"整只鸡,冻的",110,中国香港,163922,千克,0,—,3613647
2071311,鲜或冷的带骨鸡块,110,中国香港,101528,千克,0,—,2571328
2071329,鲜或冷的其他鸡杂碎,110,中国香港,11040,千克,0,—,252227
2071411,带骨的冻鸡块,102,巴林,54000,千克,0,—,451670
2071411,带骨的冻鸡块,110,中国香港,840136,千克,0,—,10162936
2071419,其他冻鸡块,102,巴林,873794,千克,0,—,10908540
2071419,其他冻鸡块,110,中国香港,3271477,千克,0,—,49743139
2071419,其他冻鸡块,122,马来西亚,1538542,千克,0,—,26131375
2071419,其他冻鸡块,337,格鲁吉亚(2023年起停用),131992,千克,0,—,1551455
2071421,冻鸡翼（不包括翼尖）,110,中国香港,82941,千克,0,—,2980734
2071429,其他冻鸡杂碎,110,中国香港,17177,千克,0,—,612900
2074100,鲜或冷的整只鸭,110,中国香港,1724264,千克,0,—,25451579
2074200,整只冻鸭,102,巴林,22750,千克,0,—,229266
2074200,整只冻鸭,110,中国香港,296827,千克,0,—,4363048
2074400,鲜或冷的鸭块及杂碎,110,中国香港,13950,千克,0,—,207255
2074500,冻的鸭块及杂碎,102,巴林,18992,千克,0,—,190808
2074500,冻的鸭块及杂碎,110,中国香港,116700,千克,0,—,1354408
2075100,鲜或冷的整只鹅,110,中国香港,962660,千克,0,—,26050923
2075400,鲜或冷的鹅块及杂碎,110,中国香港,3348,千克,0,—,30536
2081020,"冻兔肉,不包括兔头",304,德国,193749,千克,0,—,5814165
2081020,"冻兔肉,不包括兔头",344,俄罗斯,50000,千克,0,—,1188727
2081020,"冻兔肉,不包括兔头",502,美国,111370,千克,0,—,3024793
2089010,鲜、冷、冻的乳鸽肉及...,110,中国香港,399206,千克,0,—,9548260
2089090,其他鲜、冷、冻的肉及...,110,中国香港,9290,千克,0,—,545730
2101900,其他干、熏、盐腌或盐...,110,中国香港,3907,千克,0,—,225859
2109900,其他干、熏、盐腌或盐...,110,中国香港,30973,千克,0,—,689745
3011100,淡水观赏鱼,110,中国香港,25490,千克,0,—,187374
3011100,淡水观赏鱼,112,印度尼西亚,400,千克,0,—,26766
3011100,淡水观赏鱼,116,日本,1096,千克,0,—,229869
3011100,淡水观赏鱼,122,马来西亚,1645,千克,0,—,160535
3011100,淡水观赏鱼,132,新加坡,518,千克,0,—,92825
3011100,淡水观赏鱼,133,韩国,305,千克,0,—,100615
3011100,淡水观赏鱼,136,泰国,40,千克,0,—,27261
3011100,淡水观赏鱼,143,中国台湾,1704,千克,0,—,101375
3011100,淡水观赏鱼,145,哈萨克斯坦,242,千克,0,—,8780
3011100,淡水观赏鱼,337,格鲁吉亚(2023年起停用),6,千克,0,—,903
3011100,淡水观赏鱼,344,俄罗斯,236,千克,0,—,108595
3011100,淡水观赏鱼,502,美国,4707,千克,0,—,576299
3011100,淡水观赏鱼,601,澳大利亚,562,千克,0,—,123247
3019290,"其他活鳗鱼,鱼苗除外",110,中国香港,53290,千克,0,—,9011976
3019290,"其他活鳗鱼,鱼苗除外",116,日本,683000,千克,0,—,137839830
3019290,"其他活鳗鱼,鱼苗除外",132,新加坡,2055,千克,0,—,413948
3019290,"其他活鳗鱼,鱼苗除外",133,韩国,21022,千克,0,—,2110185
3019290,"其他活鳗鱼,鱼苗除外",141,越南,76034,千克,0,—,5173134
3019390,"其他活鲤科鱼, 鱼苗...",110,中国香港,2209969,千克,0,—,49967918
3019390,"其他活鲤科鱼, 鱼苗...",133,韩国,201770,千克,0,—,3828974
3019390,"其他活鲤科鱼, 鱼苗...",141,越南,33000,千克,0,—,1023000
3019911,鲈鱼苗,122,马来西亚,10,千克,0,—,2868
3019911,鲈鱼苗,132,新加坡,5,千克,0,—,2007
3019919,其他鱼苗,122,马来西亚,10,千克,0,—,9559
3019919,其他鱼苗,133,韩国,103776,千克,0,—,2452586
