商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,第一数量,第一计量单位,第二数量,第二计量单位,美元
1012100,改良种用马,502,美国,3200,千克,8,头,523795
1022100,改良种用家牛,601,澳大利亚,1004120,千克,3862,头,6488160
1022900,"其他家牛,改良种用除...",601,澳大利亚,1121606,千克,1952,头,3622787
1061110,改良种用灵长目动物,344,俄罗斯,20,千克,4,只,12000
1061190,"其他灵长目动物,改良...",424,圭亚那,192,千克,116,只,35627
1061211,改良种用鲸、海豚及鼠...,116,日本,901,千克,5,只,397589
1061221,改良种用海豹、海狮及...,202,安哥拉,250,千克,12,只,171090
1061221,改良种用海豹、海狮及...,344,俄罗斯,648,千克,21,只,290540
1061229,其他海豹、海狮及海象...,202,安哥拉,1710,千克,68,只,599627
1061910,其他改良种用哺乳动物,304,德国,1230,千克,30,只,288107
1061910,其他改良种用哺乳动物,502,美国,2996,千克,12,只,81600
1061990,"未列名哺乳动物,改良...",116,日本,10,千克,364,只,154321
1061990,"未列名哺乳动物,改良...",132,新加坡,0,千克,6,只,80
1061990,"未列名哺乳动物,改良...",143,中国台湾,8,千克,44,只,1914
1061990,"未列名哺乳动物,改良...",304,德国,0,千克,4,只,301
1061990,"未列名哺乳动物,改良...",424,圭亚那,87,千克,12,只,4835
1061990,"未列名哺乳动物,改良...",502,美国,41,千克,1375,只,432220
1061990,"未列名哺乳动物,改良...",601,澳大利亚,2,千克,28,只,389
1062020,食用爬行动物,112,印度尼西亚,14638,千克,3783,只,97972
1062020,食用爬行动物,141,越南,29250,千克,1600,只,88000
1062020,食用爬行动物,143,中国台湾,14711,千克,10021,只,29511
1062090,未列名爬行动物,502,美国,2340,千克,244735,只,454324
1063210,改良种用鹦形目鸟,136,泰国,219,千克,240,只,31810
1063290,"其他鹦形目鸟,改良种...",441,苏里南,211,千克,351,只,54877
1063910,其他改良种用鸟,136,泰国,5,千克,5,只,1000
1063990,未列名鸟,221,几内亚,40,千克,40,只,8024
1063990,未列名鸟,441,苏里南,36,千克,70,只,10230
