商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,第一数量,第一计量单位,第二数量,第二计量单位,人民币
1012900,"其他马,改良种用除外",116,日本,5400,千克,12,头,722700
1012900,"其他马,改良种用除外",502,美国,500,千克,1,头,6745
1012900,"其他马,改良种用除外",601,澳大利亚,28900,千克,68,头,6867958
1061110,改良种用灵长目动物,112,印度尼西亚,47,千克,6,只,20235
1061221,改良种用海豹、海狮及...,202,安哥拉,600,千克,20,只,242824
1061229,其他海豹、海狮及海象...,202,安哥拉,240,千克,6,只,418871
1061410,改良种用家兔及野兔,502,美国,8,千克,2,只,4630
1061910,其他改良种用哺乳动物,441,苏里南,65,千克,12,只,44651
1061910,其他改良种用哺乳动物,502,美国,800,千克,80,只,377726
1061990,"未列名哺乳动物,改良...",116,日本,390,千克,465,只,1533773
1061990,"未列名哺乳动物,改良...",143,中国台湾,182,千克,972,只,212376
1061990,"未列名哺乳动物,改良...",502,美国,44,千克,2113,只,584325
1061990,"未列名哺乳动物,改良...",601,澳大利亚,2,千克,88,只,14419
1062020,食用爬行动物,112,印度尼西亚,18892,千克,9165,只,812997
1062020,食用爬行动物,136,泰国,2555,千克,1606,只,68940
1062020,食用爬行动物,141,越南,34550,千克,2000,只,741962
1062020,食用爬行动物,143,中国台湾,17049,千克,11451,只,230671
1062090,未列名爬行动物,502,美国,820,千克,48592,只,732910
1064910,改良种用昆虫,502,美国,0,千克,700,只,568
1064990,"其他昆虫,改良种用除...",502,美国,0,千克,1800,只,4794
1069090,"其他活动物,改良种用...",112,印度尼西亚,75,千克,1000,只,19561
1069090,"其他活动物,改良种用...",143,中国台湾,13884,千克,34710,只,71387
1069090,"其他活动物,改良种用...",502,美国,9,千克,90,只,205186
2012000,鲜或冷的带骨牛肉,502,美国,5157,千克,0,—,801863
2012000,鲜或冷的带骨牛肉,601,澳大利亚,43422,千克,0,—,5131016
2013000,鲜或冷的去骨牛肉,502,美国,91658,千克,0,—,13041733
2013000,鲜或冷的去骨牛肉,601,澳大利亚,430913,千克,0,—,33301829
2021000,冻整头及半头牛肉,601,澳大利亚,16995,千克,0,—,240724
2022000,冻带骨牛肉,502,美国,1883,千克,0,—,148342
2022000,冻带骨牛肉,601,澳大利亚,1805805,千克,0,—,40997288
2023000,冻去骨牛肉,502,美国,60670,千克,0,—,2720508
2023000,冻去骨牛肉,601,澳大利亚,6881104,千克,0,—,290407888
2031900,其他鲜或冷的猪肉,502,美国,1737,千克,0,—,43459
2032200,冻带骨猪前腿、猪后腿...,303,英国,1076796,千克,0,—,12976014
2032200,冻带骨猪前腿、猪后腿...,304,德国,5481114,千克,0,—,63314253
2032200,冻带骨猪前腿、猪后腿...,502,美国,3658162,千克,0,—,44197297
2032900,其他冻猪肉,303,英国,2518593,千克,0,—,20424934
2032900,其他冻猪肉,304,德国,9174127,千克,0,—,117982800
2032900,其他冻猪肉,502,美国,7618447,千克,0,—,77613527
2042200,鲜或冷的带骨绵羊肉,502,美国,522,千克,0,—,40061
2042200,鲜或冷的带骨绵羊肉,601,澳大利亚,202,千克,0,—,32709
2042300,鲜或冷的去骨绵羊肉,601,澳大利亚,127,千克,0,—,8790
2044200,冻带骨绵羊肉,601,澳大利亚,5782139,千克,0,—,116581595
2044300,冻去骨绵羊肉,601,澳大利亚,443263,千克,0,—,6078001
2045000,山羊肉,502,美国,76,千克,0,—,3034
2062900,其他冻牛杂碎,601,澳大利亚,375363,千克,0,—,7834394
2064900,其他冻猪杂碎,303,英国,2765298,千克,0,—,19513411
2064900,其他冻猪杂碎,304,德国,12740597,千克,0,—,112794622
2064900,其他冻猪杂碎,502,美国,23715080,千克,0,—,330665429
2069000,其他冻杂碎（牛、猪杂...,601,澳大利亚,119084,千克,0,—,1880049
2072500,"整只火鸡,冻的",502,美国,1287,千克,0,—,13588
2072700,"火鸡块及杂碎,冻的",502,美国,2268,千克,0,—,14983
2091000,未炼制或用其他方法提...,303,英国,118850,千克,0,—,436871
2091000,未炼制或用其他方法提...,304,德国,27500,千克,0,—,148392
2091000,未炼制或用其他方法提...,502,美国,203,千克,0,—,3934
2101900,其他干、熏、盐腌或盐...,502,美国,10630,千克,0,—,1437516
2109300,干、熏、盐腌或盐渍的...,136,泰国,100,千克,0,—,14891
2109900,其他干、熏、盐腌或盐...,601,澳大利亚,1038,千克,0,—,307976
3011100,淡水观赏鱼,111,印度,230,千克,0,—,44737
3011100,淡水观赏鱼,112,印度尼西亚,9662,千克,0,—,4506944
3011100,淡水观赏鱼,122,马来西亚,6533,千克,0,—,3624285
3011100,淡水观赏鱼,136,泰国,6319,千克,0,—,602828
3011100,淡水观赏鱼,143,中国台湾,503,千克,0,—,59276
3011100,淡水观赏鱼,304,德国,82,千克,0,—,18364
3011100,淡水观赏鱼,441,苏里南,66,千克,0,—,24171
3011900,其他观赏鱼,112,印度尼西亚,4448,千克,0,—,511190
3011900,其他观赏鱼,122,马来西亚,108,千克,0,—,24721
3011900,其他观赏鱼,143,中国台湾,386,千克,0,—,59252
3011900,其他观赏鱼,502,美国,510,千克,0,—,295212
3019290,"其他活鳗鱼,鱼苗除外",112,印度尼西亚,925,千克,0,—,62989
3019290,"其他活鳗鱼,鱼苗除外",133,韩国,20,千克,0,—,540
3019290,"其他活鳗鱼,鱼苗除外",136,泰国,6836,千克,0,—,389828
3019290,"其他活鳗鱼,鱼苗除外",601,澳大利亚,2657,千克,0,—,228869
3019999,其他活鱼,112,印度尼西亚,10271,千克,0,—,399665
3019999,其他活鱼,133,韩国,120,千克,0,—,3238
3019999,其他活鱼,136,泰国,7127,千克,0,—,256256
3019999,其他活鱼,141,越南,5465,千克,0,—,315689
3019999,其他活鱼,143,中国台湾,101100,千克,0,—,2812335
3021410,鲜或冷的大西洋鲑鱼,303,英国,246015,千克,0,—,16423479
3021410,鲜或冷的大西洋鲑鱼,601,澳大利亚,613353,千克,0,—,37193426
