商品编码,商品名称,贸易伙伴编码,贸易伙伴名称,第一数量,第一计量单位,第二数量,第二计量单位,人民币
1022900,其他家牛，改良种用除...,412,智利,1012335,千克,3821,头,49369837
1051110,改良种用鸡，改良种用...,609,新西兰,1568,千克,42120,只,6469408
1069090,"其他活动物,改良种用...",115,以色列,0,千克,1,只,709
2012000,鲜或冷的带骨牛肉,609,新西兰,1912,千克,0,—,154546
2013000,鲜或冷的去骨牛肉,402,阿根廷,258551,千克,0,—,11054925
2013000,鲜或冷的去骨牛肉,609,新西兰,719589,千克,0,—,35398993
2021000,冻整头及半头牛肉,609,新西兰,67512,千克,0,—,1259883
2022000,冻带骨牛肉,335,拉脱维亚,47558,千克,0,—,648705
2022000,冻带骨牛肉,402,阿根廷,6155280,千克,0,—,98335793
2022000,冻带骨牛肉,412,智利,1164630,千克,0,—,33731825
2022000,冻带骨牛肉,432,巴拿马,135571,千克,0,—,2677123
2022000,冻带骨牛肉,609,新西兰,5766088,千克,0,—,144339658
2023000,冻去骨牛肉,347,乌克兰,911163,千克,0,—,30688170
2023000,冻去骨牛肉,402,阿根廷,18676116,千克,0,—,671254376
2023000,冻去骨牛肉,412,智利,261966,千克,0,—,10735134
2023000,冻去骨牛肉,432,巴拿马,98927,千克,0,—,3876767
2023000,冻去骨牛肉,609,新西兰,12223617,千克,0,—,507599566
2032190,其他冻整头及半头猪肉,402,阿根廷,240202,千克,0,—,3479103
2032200,冻带骨猪前腿、猪后腿...,302,丹麦,12013694,千克,0,—,163141422
2032200,冻带骨猪前腿、猪后腿...,311,葡萄牙,356749,千克,0,—,4767492
2032200,冻带骨猪前腿、猪后腿...,402,阿根廷,657611,千克,0,—,8044754
2032200,冻带骨猪前腿、猪后腿...,412,智利,3571320,千克,0,—,49007288
2032900,其他冻猪肉,302,丹麦,15195279,千克,0,—,261994768
2032900,其他冻猪肉,311,葡萄牙,474351,千克,0,—,5968006
2032900,其他冻猪肉,331,瑞士,66080,千克,0,—,1469298
2032900,其他冻猪肉,402,阿根廷,624338,千克,0,—,8711046
2032900,其他冻猪肉,412,智利,5770294,千克,0,—,75437214
2042200,鲜或冷的带骨绵羊肉,609,新西兰,13346,千克,0,—,2060674
2042300,鲜或冷的去骨绵羊肉,609,新西兰,13649,千克,0,—,1327806
2043000,冻整头及半头羔羊肉,402,阿根廷,7621,千克,0,—,329732
2043000,冻整头及半头羔羊肉,412,智利,32012,千克,0,—,1413103
2043000,冻整头及半头羔羊肉,609,新西兰,541505,千克,0,—,26399897
2044100,冻整头及半头绵羊肉,402,阿根廷,8500,千克,0,—,320989
2044100,冻整头及半头绵羊肉,609,新西兰,1899970,千克,0,—,77109018
2044200,冻带骨绵羊肉,402,阿根廷,23161,千克,0,—,821933
2044200,冻带骨绵羊肉,412,智利,143285,千克,0,—,5149514
2044200,冻带骨绵羊肉,609,新西兰,12180735,千克,0,—,525273315
2044300,冻去骨绵羊肉,412,智利,2067,千克,0,—,77831
2044300,冻去骨绵羊肉,609,新西兰,517240,千克,0,—,15643834
2045000,鲜、冷、冻山羊肉,609,新西兰,1115,千克,0,—,56431
2062200,冻牛肝,609,新西兰,28938,千克,0,—,253598
2062900,其他冻牛杂碎,609,新西兰,808374,千克,0,—,23529093
2064100,冻猪肝,331,瑞士,2160,千克,0,—,25908
2064900,其他冻猪杂碎,302,丹麦,14012818,千克,0,—,197185308
2064900,其他冻猪杂碎,311,葡萄牙,76910,千克,0,—,1515227
2064900,其他冻猪杂碎,331,瑞士,199360,千克,0,—,4369796
2064900,其他冻猪杂碎,412,智利,4029379,千克,0,—,40960073
2069000,其他冻杂碎（牛、猪杂...,609,新西兰,193037,千克,0,—,7883829
2071200,整只鸡，冻的,402,阿根廷,603119,千克,0,—,5403952
2071411,带骨的冻鸡块,402,阿根廷,54000,千克,0,—,531466
2071421,冻鸡翼（不包括翼尖）,402,阿根廷,2365631,千克,0,—,27869291
2071421,冻鸡翼（不包括翼尖）,412,智利,458229,千克,0,—,7615444
2071422,冻鸡爪,402,阿根廷,2440425,千克,0,—,51261756
2071422,冻鸡爪,412,智利,1116388,千克,0,—,27638818
2071429,其他冻鸡杂碎,402,阿根廷,409334,千克,0,—,2494088
2071429,其他冻鸡杂碎,412,智利,267472,千克,0,—,1215986
2072700,火鸡块及杂碎，冻的,412,智利,634699,千克,0,—,8107176
2089090,其他鲜、冷、冻的肉及...,609,新西兰,266544,千克,0,—,11510703
2091000,未炼制或用其他方法提...,302,丹麦,1090652,千克,0,—,13301093
2091000,未炼制或用其他方法提...,311,葡萄牙,30098,千克,0,—,208768
2091000,未炼制或用其他方法提...,412,智利,991476,千克,0,—,6938018
3011100,淡水观赏鱼,236,尼日利亚,22,千克,0,—,12731
3011100,淡水观赏鱼,247,坦桑尼亚,364,千克,0,—,107463
3011100,淡水观赏鱼,413,哥伦比亚,469,千克,0,—,352963
3011100,淡水观赏鱼,434,秘鲁,255,千克,0,—,163040
3011900,其他观赏鱼,134,斯里兰卡,258,千克,0,—,151496
3019290,其他活鳗鱼，鱼苗除外,106,缅甸,31313,千克,0,—,1549462
3019290,其他活鳗鱼，鱼苗除外,609,新西兰,4119,千克,0,—,319470
3019999,其他活鱼,103,孟加拉国,216100,千克,0,—,5142940
3019999,其他活鱼,106,缅甸,779006,千克,0,—,20518140
3021300,鲜或冷的大麻哈鱼,609,新西兰,79196,千克,0,—,8245165
3021410,鲜或冷的大西洋鲑鱼,322,冰岛,30867,千克,0,—,2749236
3021410,鲜或冷的大西洋鲑鱼,412,智利,516986,千克,0,—,46855168
3028990,其他鲜或冷的鱼,106,缅甸,23856,千克,0,—,857732
3028990,其他鲜或冷的鱼,134,斯里兰卡,8929,千克,0,—,348763
3031310,冻大西洋鲑鱼,412,智利,316888,千克,0,—,15254100
3031400,冻鳟鱼,412,智利,22000,千克,0,—,1137366
3032600,冻鳗鱼,106,缅甸,22160,千克,0,—,127690
3033110,冻马舌鲽(格陵兰庸鲽...,311,葡萄牙,167667,千克,0,—,6394695
3033110,冻马舌鲽(格陵兰庸鲽...,322,冰岛,646046,千克,0,—,25235857
3033300,冻鳎鱼,106,缅甸,44070,千克,0,—,450330
3033900,其他冻比目鱼,103,孟加拉国,31305,千克,0,—,190379
3033900,其他冻比目鱼,609,新西兰,90,千克,0,—,291
3034200,冻黄鳍金枪鱼,620,密克罗尼西亚联邦,1000,千克,0,—,10156
3034300,冻鲣鱼或狐鲣,620,密克罗尼西亚联邦,420717,千克,0,—,4173411
3034510,冻大西洋蓝鳍金枪鱼,232,摩洛哥,12080,千克,0,—,2493803
3035100,冻鲱鱼,334,爱沙尼亚,157080,千克,0,—,916691
3035400,冻鲭鱼,322,冰岛,77480,千克,0,—,889267
3035500,冻的对称竹荚鱼、新西...,609,新西兰,1058514,千克,0,—,16316470
3035990,冻鳀鱼(鳀属）、冻印...,106,缅甸,38751,千克,0,—,699625
3035990,冻鳀鱼(鳀属）、冻印...,322,冰岛,431712,千克,0,—,10125089
3036600,冻狗鳕鱼,402,阿根廷,88958,千克,0,—,1371189
3036800,冻蓝鳕鱼,609,新西兰,16483,千克,0,—,86422
3036900,其他冻的犀鳕科、多丝...,402,阿根廷,13765,千克,0,—,134037
3036900,其他冻的犀鳕科、多丝...,609,新西兰,1046801,千克,0,—,13404449
3038300,冻南极犬牙鱼,402,阿根廷,34111,千克,0,—,3972108
3038300,冻南极犬牙鱼,412,智利,13749,千克,0,—,1496853
